Min Scattering Error Threshold,Detector Range,Particle Diameter Setting,Filename,MMAD,RF,FPF
0,Default,Default,Exp020-0DefaultDefault.txt,,,
Default (150),Default,Default,Exp020-allDefault.txt,,,
5,Default,Default,Exp020-5DefaultDefault.txt,,,
10,Default,Default,Exp020-10DefaultDefault.txt,,,
15,Default,Default,Exp020-15DefaultDefault.txt,,,
20,Default,Default,Exp020-20DefaultDefault.txt,,,
25,Default,Default,Exp020-25DefaultDefault.txt,,,
30,Default,Default,Exp020-30DefaultDefault.txt,,,
40,Default,Default,Exp020-40DefaultDefault.txt,,,
50,Default,Default,Exp020-50DefaultDefault.txt,,,
60,Default,Default,Exp020-60DefaultDefault.txt,,,
70,Default,Default,Exp020-70DefaultDefault.txt,,,
80,Default,Default,Exp020-80DefaultDefault.txt,,,
90,Default,Default,Exp020-90DefaultDefault.txt,,,
100,Default,Default,Exp020-100DefaultDefault.txt,,,
110,Default,Default,Exp020-110DefaultDefault.txt,,,
120,Default,Default,Exp020-120DefaultDefault.txt,,,
130,Default,Default,Exp020-130DefaultDefault.txt,,,
140,Default,Default,Exp020-140DefaultDefault.txt,,,
0,Default,1 um - 100 um,Exp020-0Default0um100um.txt,,,
Default (150),Default,1 um - 100 um,Exp020-DefaultDefault0um100um.txt,,,
25,1-Last,Default,Exp020-25DefaultDefault.txt,,,
25,2-Last,Default,Exp020-25-2_Last-Default.txt,,,
25,3-Last,Default,Exp020-25-3_Last-Default.txt,,,
25,4-Last,Default,Exp020-25-4_Last-Default.txt,,,
25,5-Last,Default,Exp020-25-5_Last-Default.txt,,,
25,6-Last,Default,Exp020-25-6_Last-Default.txt,,,
25,7-Last,Default,Exp020-25-7_Last-Default.txt,,,
25,8-Last,Default,Exp020-25-8_Last-Default.txt,,,
25,9-Last,Default,Exp020-25-9_Last-Default.txt,,,
25,10-Last,Default,Exp020-25-10_Last-Default.txt,,,
25,11-Last,Default,Exp020-25-11_Last-Default.txt,,,
25,12-Last,Default,Exp020-25-12_Last-Default.txt,,,
