VARY_ONLY_ALARM,VARY_ONLY_DETFIRST,VARY_ONLY_DETLAST,VARY_PDMINMAX_ALARM,VARY_PDMINMAX_DETFIRST,VARY_PDMINMAX_DETLAST,ALARMMIN,DFIRST,DDISTANCEFROMLAST,PDMIN,PDMAX
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,0,0.1,2500
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,150,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,25,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,30,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,40,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,70,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,80,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,90,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,100,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,110,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,120,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,130,1,0,0.1,2500
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,140,1,0,0.1,2500
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,0,1,100
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,150,1,0,1,100
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,25,1,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,2,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,3,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,4,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,5,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,6,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,7,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,8,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,9,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,10,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,11,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,12,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,13,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,14,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,15,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,16,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,17,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,18,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,19,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,20,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,21,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,22,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,23,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,24,0,0.1,2500
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,25,25,0,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,1,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,2,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,3,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,4,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,5,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,6,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,7,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,8,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,9,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,10,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,11,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,12,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,13,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,14,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,15,0.1,2500
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,1,16,0.1,2500
