Date-Time	Sr[0]	Sr[1]	Sr[2]	Sr[3]	Sr[4]	Sr[5]	Sr[6]	Sr[7]	Sr[8]	Sr[9]	Sr[10]	Sr[11]	Sr[12]	Sr[13]	Sr[14]	Sr[15]	Sr[16]	Sr[17]	Sr[18]	Sr[19]	Sr[20]	Sr[21]	Sr[22]	Sr[23]	Sr[24]	Sr[25]	Sr[26]	Sr[27]	Sr[28]	Sr[29]	Sr[30]	Sr[31]	Sr[32]	Sr[33]	Sr[34]	Sr[35]	Sr[36]	Sr[M]
Feb 22 2023 18:03:26	24718.6035156	552.609191895	740.301025391	440.489135742	519.793701172	318.006347656	296.826568604	204.921310425	189.723114014	151.814041138	161.532531738	137.475387573	119.458755493	103.08518219	95.318862915	90.363243103	88.58253479	91.5225448608	87.3885650635	90.766746521	84.3517456055	84.7925338745	78.7866363525	78.8713760376	72.6104354858	69.6090393066	58.8499336243	55.2502975464	49.7300186157	50.7125740051	49.7390518188	53.6583862305	54.7614746094	59.7734260559	59.9184799194	58.7793502808	56.4981842041	979.318603516
Feb 22 2023 18:03:27	24177.5566406	1120.4753418	1035.67834473	645.742126465	633.230529785	396.190551758	348.721740723	239.246932983	205.316314697	155.306915283	148.721420288	122.503311157	103.717185974	90.3307342529	81.4901885986	78.0052032471	75.0250091553	74.6527252197	71.9163284302	72.6479644775	66.6607437134	65.6304931641	60.0050544739	60.7664985657	57.3716583252	58.0379180908	51.9829788208	52.3009605408	49.8628463745	53.3180770874	54.5217628479	60.8904647827	63.4217338562	71.294418335	71.1995391846	71.0832443237	68.4241027832	979.368041992
Feb 22 2023 18:03:28	27912.5117188	356.389465332	473.14743042	331.215454102	377.361541748	248.088806152	217.934539795	155.781066895	137.211517334	108.974563599	113.110969543	93.9630966187	71.0131759644	56.5993843079	43.8476791382	37.6518859863	30.317522049	29.6638183594	22.3890342712	24.5108699799	18.2885055542	19.2989501953	14.3691072464	15.7527370453	11.721075058	14.0438480377	9.64602947235	11.327050209	8.75654125214	9.8072052002	7.90270042419	8.93775463104	7.9729886055	8.68675231934	7.72985219955	6.76154470444	6.29495811462	979.37310791
Feb 22 2023 18:03:29	24871.953125	882.356811523	830.883850098	508.134674072	504.339660645	333.509368896	301.126495361	218.688720703	190.065353394	143.133712769	135.804428101	108.587234497	87.9433059692	73.3177032471	62.6146392822	57.8581771851	54.0943984985	52.9026794434	49.937461853	50.2538642883	44.8272628784	44.8077011108	40.381072998	41.93201828	39.3393554688	41.1918106079	37.3571624756	39.1881217957	38.3324012756	42.0806427002	43.6442527771	49.3633232117	51.8773155212	58.5922660828	58.813659668	58.6957969666	56.6712226868	979.405273438
Feb 22 2023 18:03:30	23697.6992188	1028.06860352	1110.3996582	641.0625	681.370178223	411.55557251	383.191467285	251.278747559	228.909683228	174.055725098	179.047317505	146.839416504	126.526725769	106.488136292	95.6097717285	87.7628097534	83.3823623657	80.4040145874	76.7997436523	74.9293518066	66.6686477661	63.8832130432	57.3585777283	58.0223083496	54.8267860413	55.4720039368	50.3177986145	51.3194313049	50.1861419678	54.4865341187	56.9674453735	63.7402458191	67.5843429565	75.5621490479	77.3533630371	77.3196868896	75.3022613525	979.431884766
Feb 22 2023 18:03:31	21849.4023438	1043.6763916	1232.83947754	658.828674316	733.808776855	425.413269043	406.10559082	262.731262207	237.139038086	186.175949097	188.023300171	156.00440979	138.828277588	122.550880432	115.200630188	109.316040039	106.381118774	102.875160217	100.86529541	98.2195739746	89.9926986694	85.1256713867	77.8918228149	77.5715866089	74.4056015015	74.5848846436	68.6883926392	69.611907959	69.0661849976	74.5826339722	78.7090911865	87.4371185303	92.8336257935	102.030647278	104.167724609	102.487411499	98.6583480835	979.443603516
Feb 22 2023 18:03:32	21750.2773438	1288.0246582	1220.16223145	769.337097168	761.825683594	461.338439941	404.606994629	269.406433105	235.868377686	184.031219482	186.053939819	155.677490234	135.809677124	119.04876709	110.515213013	104.823898315	102.83405304	101.775314331	96.7653198242	97.545715332	87.8622055054	85.0432662964	77.8136672974	78.5896835327	75.7645111084	76.1870040894	70.837677002	72.1215209961	72.19480896	78.5540161133	83.2876815796	93.5145874023	99.767288208	111.612335205	113.444404602	112.935203552	108.63558197	979.449157715
Feb 22 2023 18:03:33	20685.3691406	1201.89147949	1115.30664063	671.643127441	649.522705078	412.153076172	363.129516602	255.430755615	230.269165039	187.094345093	191.055145264	169.210128784	157.982772827	146.713272095	145.686157227	144.44380188	148.205307007	149.029403687	142.43447876	140.744552612	125.90687561	117.782279968	106.420524597	104.602645874	100.271194458	97.2061233521	88.3988647461	86.7203292847	85.0234146118	90.2262268066	94.4656600952	104.234046936	110.119354248	121.925460815	124.457969666	124.275238037	120.569564819	979.466430664
Feb 22 2023 18:03:34	21149.2949219	1186.54919434	1177.4453125	712.502563477	723.223205566	431.354553223	385.900146484	268.818145752	237.826660156	187.890411377	191.391220093	166.527511597	153.230804443	141.049972534	137.953887939	136.716705322	139.274810791	140.874206543	136.456939697	135.138397217	122.982009888	116.128356934	107.034690857	105.640411377	101.997634888	98.8720397949	90.0414581299	87.5859527588	85.6822052002	90.1882629395	94.7138824463	103.704994202	110.240715027	120.103843689	123.56918335	121.117485046	116.844078064	979.47076416
Feb 22 2023 18:03:35	21811.0585938	1257.70227051	1259.85388184	750.320068359	754.09387207	458.026245117	407.86706543	278.632293701	245.377349854	190.936737061	192.99911499	165.175476074	146.273864746	130.270751953	124.024131775	120.334144592	121.186729431	120.698738098	120.218933105	119.940338135	112.732337952	108.214813232	100.508842468	98.7890396118	94.8792495728	92.3167114258	83.4644622803	80.6706161499	77.8403244019	81.7057952881	84.9662246704	93.0943832397	98.2554321289	107.511299133	109.434623718	107.460449219	103.410362244	979.516174316
Feb 22 2023 18:03:36	21179.0742188	1814.09521484	1541.21447754	986.992675781	903.737304688	581.834960938	492.20513916	336.544281006	289.389068604	233.303573608	234.008056641	202.533401489	184.683959961	166.711776733	163.508529663	159.812408447	162.5965271	163.685028076	154.575637817	148.165710449	129.066574097	113.669334412	97.9184341431	93.2940139771	89.3307571411	87.2676010132	79.1614837646	77.4544525146	75.5836868286	79.9352416992	83.8236312866	92.0768356323	98.046836853	107.269096375	111.156051636	109.73008728	107.780761719	979.517456055
Feb 22 2023 18:03:37	20711.3007813	1386.71704102	1305.28991699	834.357055664	802.020935059	503.293182373	431.999542236	299.15234375	262.633270264	205.843704224	200.046783447	173.551147461	159.25843811	150.298553467	147.854034424	148.345001221	152.49609375	153.432540894	148.18031311	142.298431396	125.409156799	112.247207642	97.7684555054	94.2824172974	90.5266647339	89.4669723511	82.0030441284	81.6893539429	80.5548019409	86.4267883301	90.7386474609	100.583534241	106.784042358	117.854812622	121.02406311	119.35660553	115.28037262	979.532104492
Feb 22 2023 18:03:38	21735.8710938	1196.88354492	1119.56689453	743.203430176	710.916748047	449.932769775	376.698425293	273.605224609	230.694381714	175.671798706	172.18069458	149.852676392	138.274551392	132.383590698	132.713012695	134.42855835	140.318588257	144.460372925	138.946624756	137.182128906	122.159881592	112.073188782	97.617729187	93.6575622559	88.4116668701	86.7648925781	78.0439682007	76.2873916626	73.4309768677	77.768699646	80.8096084595	89.4118041992	93.2542724609	102.409263611	102.169868469	100.302696228	96.9964141846	979.56628418
Feb 22 2023 18:03:39	23681.2128906	887.622314453	915.340759277	587.831604004	602.984008789	376.223937988	337.075866699	230.214248657	202.556274414	160.532714844	161.837936401	139.51852417	120.502433777	107.800361633	100.085426331	97.0486068726	95.3165740967	94.7614746094	89.2127075195	86.1961669922	74.4952087402	67.7759017944	58.1015510559	57.1652374268	54.2750587463	55.3363990784	50.4860725403	52.0477142334	51.4031448364	56.1127510071	59.1132316589	66.2889938354	70.4323577881	78.5904769897	80.0806274414	79.5335922241	76.6545791626	979.571411133
Feb 22 2023 18:03:40	22085.1542969	1094.96740723	1066.3314209	652.468688965	665.608886719	403.324645996	358.501831055	258.117706299	230.674697876	186.143859863	188.102706909	164.23500061	148.218078613	137.631011963	133.329025269	132.062667847	132.763519287	130.956726074	125.303390503	119.034553528	102.739334106	91.1041564941	77.8987197876	75.3719940186	72.1627655029	72.080039978	66.617767334	67.5159912109	67.3490600586	73.17137146	77.5413284302	86.8973770142	92.7493286133	103.632232666	105.912918091	105.710121155	102.41683197	979.589355469
Feb 22 2023 18:03:41	21131.15625	1309.48779297	1211.32946777	670.683532715	662.329284668	416.717254639	370.346252441	260.028991699	236.256240845	187.507827759	195.605834961	170.508972168	161.881668091	149.444961548	149.236633301	146.416488647	148.689559937	147.842529297	137.770065308	135.229705811	115.868728638	104.240318298	89.1660079956	86.2954406738	82.9908599854	82.4767303467	76.6152496338	77.3893966675	77.6261367798	84.1111450195	89.4903793335	99.7456741333	106.452377319	117.7865448	120.334243774	119.266075134	114.843276978	979.614257813
Feb 22 2023 18:03:42	18196.2753906	1120.23522949	1114.98010254	620.22265625	618.425537109	385.867645264	345.388031006	249.141799927	226.904327393	186.483901978	190.765274048	172.301940918	167.054672241	162.502914429	165.325439453	167.239868164	172.896591187	175.16343689	169.851516724	166.835189819	150.115158081	139.493331909	126.71395874	124.366004944	120.44203186	116.952835083	108.957992554	108.36655426	109.359161377	117.79347229	126.207939148	140.851745605	150.958480835	167.652053833	171.520401001	170.459487915	163.980194092	979.634643555
Feb 22 2023 18:03:43	21030.9277344	964.433837891	914.530334473	602.983215332	591.416870117	379.611663818	331.228210449	235.461608887	209.34727478	170.412475586	173.674301147	152.991699219	140.112579346	129.856796265	126.903335571	124.846549988	127.019248962	127.611183167	122.759483337	123.020645142	111.871604919	107.678451538	99.7985153198	99.5981826782	95.8680114746	93.1144790649	85.4639892578	84.2271118164	83.3350296021	88.9348220825	93.6514205933	103.658157349	110.094177246	121.658638	123.861427307	122.578285217	117.66191864	979.667236328
Feb 22 2023 18:03:44	22233.3808594	997.192077637	1011.68426514	578.225646973	590.087463379	368.859283447	326.94543457	227.506378174	199.06161499	157.997253418	159.976913452	136.219833374	119.026275635	106.36693573	97.5574874878	93.2824707031	90.8191299438	89.03150177	86.4292984009	85.0352172852	77.6713027954	75.133354187	69.5079956055	70.6076507568	68.137840271	68.4869308472	64.0760803223	65.3495788574	65.5870666504	71.3020095825	75.7263870239	84.6056442261	90.8092956543	101.088668823	104.209632874	103.845581055	101.068084717	979.658813477
Feb 22 2023 18:03:45	21123.9804688	1257.15356445	1107.4140625	654.118835449	629.886901855	417.808349609	354.892059326	256.347503662	222.266983032	181.315811157	178.069656372	158.516647339	143.56678772	134.709274292	130.283355713	129.108947754	129.371673584	127.995742798	124.714096069	121.281219482	110.035598755	103.092765808	94.3043060303	93.7476882935	90.4832229614	88.62474823	81.4090194702	80.2756271362	79.0928878784	84.3826599121	89.1131362915	98.7580184937	105.540252686	116.697425842	119.596160889	118.049949646	113.18737793	979.686645508
Feb 22 2023 18:03:46	23891.8945313	958.254638672	978.69519043	577.727050781	603.116027832	377.980712891	338.183532715	233.974838257	208.130661011	165.334060669	167.828765869	144.997802734	126.140922546	113.139213562	105.407997131	101.721046448	99.4918441772	96.9964599609	91.9766311646	88.0328826904	76.970741272	70.2891464233	61.7036399841	61.0214271545	57.5640487671	57.1991424561	51.5907859802	52.0583190918	50.6145935059	54.4408950806	56.6497993469	63.0566673279	66.8499526978	74.3003234863	76.1822509766	75.5359420776	73.3452835083	979.708435059
Feb 22 2023 18:03:47	22653.9414063	1011.8248291	1034.91137695	651.963684082	673.309265137	428.141235352	382.524841309	269.976715088	241.032730103	193.615310669	197.269165039	174.769134521	159.939163208	149.827011108	147.565155029	147.183883667	148.579864502	148.002075195	142.481369019	134.339172363	116.731338501	102.851539612	88.5344924927	84.6803970337	80.0399169922	77.1797637939	68.8887329102	67.1944274902	64.8335418701	68.4567718506	71.0815658569	77.6887130737	82.1692047119	89.5873260498	92.2145385742	90.7168579102	88.0891113281	979.70904541
Feb 22 2023 18:03:48	22827.0703125	791.605102539	781.07824707	555.6953125	555.861328125	367.470581055	323.921295166	234.740097046	208.126876831	172.825622559	177.047164917	157.482406616	140.102111816	129.522125244	124.055213928	123.156158447	123.446960449	124.253097534	120.004905701	116.722640991	103.763801575	95.5890808105	84.5899276733	82.3120422363	78.0139770508	75.9753265381	68.0600280762	66.6687927246	64.2277069092	67.9105377197	70.4784164429	77.8759078979	82.0885314941	90.9617996216	91.8434677124	90.8428344727	88.5089645386	979.728149414
Feb 22 2023 18:03:49	18441.6191406	1000.74475098	943.705200195	574.768432617	582.579467773	377.873596191	341.511627197	256.002563477	232.325561523	195.940536499	201.274856567	185.340194702	181.920303345	177.877120972	181.629013062	185.242797852	192.949523926	191.112319946	186.966156006	181.860839844	164.00920105	150.653778076	136.976196289	133.85168457	129.688034058	125.025886536	115.224937439	113.183547974	112.515769958	119.779426575	127.098724365	140.710983276	149.98765564	165.480178833	169.135314941	167.57762146	161.225738525	979.735229492
Feb 22 2023 18:03:50	21987.9707031	897.994140625	1005.05670166	553.041381836	592.271850586	367.368804932	344.714477539	237.981735229	218.960769653	177.532562256	184.035858154	164.315933228	152.663284302	143.544433594	140.757629395	140.268157959	141.773117065	138.992675781	135.66305542	129.034805298	114.478385925	103.166603088	90.9087219238	88.0025787354	83.4427337646	81.0832443237	73.6513671875	73.0415496826	71.9892196655	77.1821517944	80.8785018921	89.8750152588	95.40599823	106.178688049	108.271385193	107.70199585	104.108360291	979.776306152
Feb 22 2023 18:03:51	19831.078125	1038.80810547	1025.26269531	662.413085938	629.172058105	409.127990723	358.970428467	260.095672607	229.304382324	188.125732422	192.222824097	171.867462158	163.730575562	157.23500061	159.771347046	162.289627075	168.103775024	170.037139893	164.895523071	161.269271851	144.808288574	133.372467041	120.300239563	116.757743835	112.130714417	108.275657654	99.0896224976	97.4003372192	96.1496505737	102.267318726	107.550292969	118.880310059	125.642608643	138.440155029	140.039520264	137.796829224	130.949478149	979.774169922
Feb 22 2023 18:03:52	18601.390625	1507.12719727	1678.05566406	834.170471191	902.555969238	493.185272217	476.264434814	297.176940918	269.401763916	193.553207397	189.079071045	157.446487427	145.761856079	132.335678101	128.963592529	125.061447144	126.663742065	124.924507141	119.605377197	118.826423645	107.463478088	102.494277954	94.4250946045	94.8746795654	92.9168930054	93.2076416016	89.1727142334	91.5226287842	93.6295471191	102.312522888	110.297058105	123.581802368	133.489639282	148.531295776	154.327285767	154.361755371	151.216659546	979.807556152
Feb 22 2023 18:03:53	17693.1386719	1669.72106934	1722.69250488	907.36505127	953.600524902	523.695007324	490.850341797	323.434020996	298.723937988	233.96975708	235.562255859	205.144180298	189.746612549	177.501312256	175.852996826	173.958175659	176.663406372	173.045852661	168.554138184	158.585983276	140.243927002	125.801765442	113.595504761	112.27104187	110.424339294	109.195785522	103.56627655	105.10647583	107.021217346	115.74571991	124.132118225	137.861083984	147.374908447	161.314910889	165.543823242	163.073120117	158.06463623	979.836914063
