Date-Time	Sc[0]	Sc[1]	Sc[2]	Sc[3]	Sc[4]	Sc[5]	Sc[6]	Sc[7]	Sc[8]	Sc[9]	Sc[10]	Sc[11]	Sc[12]	Sc[13]	Sc[14]	Sc[15]	Sc[16]	Sc[17]	Sc[18]	Sc[19]	Sc[20]	Sc[21]	Sc[22]	Sc[23]	Sc[24]	Sc[25]	Sc[26]	Sc[27]	Sc[28]	Sc[29]	Sc[30]	Sc[31]	Sc[32]	Sc[33]	Sc[34]	Sc[35]	Sc[36]	Sc[M]
Mar 10 2023 19:58:31	22390.1503906	214.539001465	166.809371948	112.917160034	84.7514266968	69.14478302	66.6829452515	70.4761199951	76.0895309448	86.0854568481	98.1140594482	113.280143738	135.265838623	158.764678955	184.371551514	207.905517578	232.090438843	250.673477173	263.146392822	271.181365967	270.935424805	267.270233154	256.831695557	240.04069519	214.250656128	181.480285645	147.292190552	119.717536926	98.1129150391	84.6337966919	75.4814758301	72.7820510864	69.818901062	72.9522247314	73.2996520996	73.4463424683	71.4794616699	0
Mar 10 2023 19:58:32	19930.9726563	361.920776367	281.706237793	200.126663208	155.367782593	125.029579163	108.370521545	99.6748580933	103.647064209	112.705177307	126.418968201	142.082397461	161.613876343	183.990570068	208.562896729	234.634078979	261.861938477	288.599212646	308.825256348	325.522003174	332.926879883	335.889373779	327.730285645	309.99017334	282.343597412	245.198013306	203.979858398	168.616363525	139.584579468	119.744750977	106.359893799	101.095199585	97.2587203979	100.182022095	102.288948059	102.18837738	101.29107666	0
Mar 10 2023 19:58:33	19157.921875	194.224700928	150.581268311	104.935394287	79.2929153442	69.2765808105	73.8679351807	86.4766998291	100.44871521	115.780723572	135.299041748	158.699920654	189.000061035	222.425308228	258.015258789	293.473571777	331.02734375	365.486877441	391.759277344	414.433074951	424.468200684	427.093566895	414.547454834	390.485931396	351.148071289	298.955413818	242.409469604	196.21395874	157.761306763	131.848388672	112.681037903	104.69543457	97.9275131226	101.482116699	102.540657043	104.855812073	105.132392883	0
Mar 10 2023 19:58:34	27188.2460938	49.1346435547	30.2247028351	11.5132026672	2.03851342201	0.337690442801	0.931571364403	3.79087376595	6.43257808685	10.1377983093	12.3030443192	15.7120304108	20.3226947784	25.0335063934	30.0165672302	34.5074768066	39.3046836853	43.4177932739	46.341342926	48.8522453308	49.9606285095	50.205783844	49.2559204102	46.8197212219	42.9368286133	37.6771659851	31.6749286652	26.6619205475	22.2309837341	19.1799240112	16.8506736755	16.1154403687	15.2248935699	16.1055221558	15.8456087112	16.1897621155	15.57218647	0
Mar 10 2023 19:58:35	20820.8417969	169.949615479	131.117950439	90.4732284546	67.0804824829	58.9779663086	62.0703010559	72.5064315796	83.7589797974	98.3938903809	114.996482849	135.612945557	162.113082886	191.395095825	223.322692871	255.078598022	290.085388184	322.144958496	348.569152832	371.222595215	382.462768555	384.064880371	370.351715088	343.895751953	306.546081543	259.371826172	209.465621948	168.754196167	135.420150757	112.027038574	94.7376327515	86.607208252	80.0065460205	82.0397491455	82.2931518555	83.7407913208	83.4008483887	0
Mar 10 2023 19:58:36	23416.1660156	269.310180664	207.295516968	140.043014526	99.9237365723	74.9747238159	64.0829467773	61.2909431458	63.3874130249	67.5947647095	74.9251556396	84.6764907837	99.2173919678	115.1902771	132.957641602	151.129470825	170.727005005	187.797714233	202.463104248	214.487411499	221.580871582	224.166397095	218.636199951	205.708404541	185.744979858	157.945480347	128.658203125	104.701309204	86.288444519	74.1956634521	66.1627044678	63.3501701355	61.0861930847	63.3188705444	63.6530799866	63.5170059204	61.9643974304	0
Mar 10 2023 19:58:37	17679.1464844	228.787872314	194.293945313	160.457000732	143.102096558	133.039428711	131.273040771	135.980514526	150.272277832	170.958145142	197.717056274	228.25958252	263.350738525	301.37512207	345.318756104	388.889099121	434.854309082	474.968902588	504.646820068	527.489868164	534.101318359	533.489746094	516.121398926	483.350830078	433.911834717	367.493560791	295.934997559	235.468658447	186.270568848	152.41746521	128.481460571	117.391876221	108.82384491	111.16078186	113.093727112	115.455841064	115.891021729	0
Mar 10 2023 19:58:38	16406.2773438	189.854217529	154.894058228	127.687210083	116.826400757	112.851470947	117.333312988	128.846954346	146.513320923	168.122406006	195.77645874	227.43107605	265.18069458	306.457672119	354.504974365	403.299957275	456.34072876	503.908843994	544.394592285	577.733215332	592.725219727	592.104064941	566.796630859	519.97869873	459.638061523	386.199584961	311.890472412	249.402694702	198.692871094	163.083023071	138.374694824	126.379066467	117.823379517	120.538612366	123.322761536	126.602836609	127.489143372	0
Mar 10 2023 19:58:39	21801.6210938	71.9295883179	52.3668174744	29.8426799774	14.962146759	15.6755237579	24.4932937622	42.3129920959	54.8841171265	69.1987457275	81.8703079224	98.7318878174	121.518562317	146.924667358	173.733215332	199.699920654	228.094894409	254.634658813	275.960632324	294.847351074	304.076538086	305.77947998	294.386016846	274.121673584	245.959945679	212.369003296	175.912307739	144.909347534	117.893486023	98.7484436035	84.4688415527	77.9336090088	72.5425949097	75.0401687622	74.9527740479	76.404045105	75.9574737549	0
Mar 10 2023 19:58:40	20552.75	115.443740845	94.7945175171	74.7080230713	65.1809692383	62.4333724976	68.7324905396	80.6434631348	92.0239868164	106.971221924	124.502700806	146.584960938	175.021011353	205.762252808	239.472946167	272.999755859	310.214904785	344.42868042	373.322875977	396.612884521	408.097900391	408.162261963	391.835327148	363.069763184	324.347015381	276.047973633	225.263076782	181.601867676	144.965560913	119.063598633	100.228797913	91.1281204224	83.9386978149	85.677482605	85.8001022339	87.1095123291	86.7973709106	0
