Date-Time	Sr[0]	Sr[1]	Sr[2]	Sr[3]	Sr[4]	Sr[5]	Sr[6]	Sr[7]	Sr[8]	Sr[9]	Sr[10]	Sr[11]	Sr[12]	Sr[13]	Sr[14]	Sr[15]	Sr[16]	Sr[17]	Sr[18]	Sr[19]	Sr[20]	Sr[21]	Sr[22]	Sr[23]	Sr[24]	Sr[25]	Sr[26]	Sr[27]	Sr[28]	Sr[29]	Sr[30]	Sr[31]	Sr[32]	Sr[33]	Sr[34]	Sr[35]	Sr[36]	Sr[M]
Feb 22 2023 18:03:26	24718.60	552.61	740.30	440.49	519.79	318.01	296.83	204.92	189.72	151.81	161.53	137.48	119.46	103.09	95.32	90.36	88.58	91.52	87.39	90.77	84.35	84.79	78.79	78.87	72.61	69.61	58.85	55.25	49.73	50.71	49.74	53.66	54.76	59.77	59.92	58.78	56.50	979.32
Feb 22 2023 18:03:27	24177.56	1120.48	1035.68	645.74	633.23	396.19	348.72	239.25	205.32	155.31	148.72	122.50	103.72	90.33	81.49	78.01	75.03	74.65	71.92	72.65	66.66	65.63	60.01	60.77	57.37	58.04	51.98	52.30	49.86	53.32	54.52	60.89	63.42	71.29	71.20	71.08	68.42	979.37
Feb 22 2023 18:03:28	27912.51	356.39	473.15	331.22	377.36	248.09	217.93	155.78	137.21	108.97	113.11	93.96	71.01	56.60	43.85	37.65	30.32	29.66	22.39	24.51	18.29	19.30	14.37	15.75	11.72	14.04	9.65	11.33	8.76	9.81	7.90	8.94	7.97	8.69	7.73	6.76	6.29	979.37
Feb 22 2023 18:03:29	24871.95	882.36	830.88	508.13	504.34	333.51	301.13	218.69	190.07	143.13	135.80	108.59	87.94	73.32	62.61	57.86	54.09	52.90	49.94	50.25	44.83	44.81	40.38	41.93	39.34	41.19	37.36	39.19	38.33	42.08	43.64	49.36	51.88	58.59	58.81	58.70	56.67	979.41
Feb 22 2023 18:03:30	23697.70	1028.07	1110.40	641.06	681.37	411.56	383.19	251.28	228.91	174.06	179.05	146.84	126.53	106.49	95.61	87.76	83.38	80.40	76.80	74.93	66.67	63.88	57.36	58.02	54.83	55.47	50.32	51.32	50.19	54.49	56.97	63.74	67.58	75.56	77.35	77.32	75.30	979.43
Feb 22 2023 18:03:31	21849.40	1043.68	1232.84	658.83	733.81	425.41	406.11	262.73	237.14	186.18	188.02	156.00	138.83	122.55	115.20	109.32	106.38	102.88	100.87	98.22	89.99	85.13	77.89	77.57	74.41	74.58	68.69	69.61	69.07	74.58	78.71	87.44	92.83	102.03	104.17	102.49	98.66	979.44
Feb 22 2023 18:03:32	21750.28	1288.02	1220.16	769.34	761.83	461.34	404.61	269.41	235.87	184.03	186.05	155.68	135.81	119.05	110.52	104.82	102.83	101.78	96.77	97.55	87.86	85.04	77.81	78.59	75.76	76.19	70.84	72.12	72.19	78.55	83.29	93.51	99.77	111.61	113.44	112.94	108.64	979.45
Feb 22 2023 18:03:33	20685.37	1201.89	1115.31	671.64	649.52	412.15	363.13	255.43	230.27	187.09	191.06	169.21	157.98	146.71	145.69	144.44	148.21	149.03	142.43	140.74	125.91	117.78	106.42	104.60	100.27	97.21	88.40	86.72	85.02	90.23	94.47	104.23	110.12	121.93	124.46	124.28	120.57	979.47
Feb 22 2023 18:03:34	21149.29	1186.55	1177.45	712.50	723.22	431.35	385.90	268.82	237.83	187.89	191.39	166.53	153.23	141.05	137.95	136.72	139.27	140.87	136.46	135.14	122.98	116.13	107.03	105.64	102.00	98.87	90.04	87.59	85.68	90.19	94.71	103.70	110.24	120.10	123.57	121.12	116.84	979.47
Feb 22 2023 18:03:35	21811.06	1257.70	1259.85	750.32	754.09	458.03	407.87	278.63	245.38	190.94	193.00	165.18	146.27	130.27	124.02	120.33	121.19	120.70	120.22	119.94	112.73	108.21	100.51	98.79	94.88	92.32	83.46	80.67	77.84	81.71	84.97	93.09	98.26	107.51	109.43	107.46	103.41	979.52
